time,flask,HCHO_in_plate,rep,cellcounts
40.5,G,2,A,127272.7273
40.5,G,2,B,109090.9091
40.5,G,2,C,109090.9091
40.5,G,4,A,54545.45455
40.5,G,4,B,54545.45455
40.5,G,4,C,100000
40.5,H,0,A,35454.54545
40.5,H,0,B,27272.72727
40.5,H,0,C,25454.54545
40.5,H,2,A,35454.54545
40.5,H,2,B,27272.72727
40.5,H,2,C,32727.27273
40.5,H,4,A,30909.09091
40.5,H,4,B,17272.72727
40.5,H,4,C,24545.45455
40.5,I,0,A,33636.36364
40.5,I,0,B,33636.36364
40.5,I,0,C,30000
40.5,I,2,A,33636.36364
40.5,I,2,B,32727.27273
40.5,I,2,C,23636.36364
40.5,I,4,A,23636.36364
40.5,I,4,B,20000
40.5,I,4,C,24545.45455
48.5,G,0,A,245454.5455
48.5,G,0,B,272727.2727
48.5,G,0,C,272727.2727
48.5,G,2,A,200000
48.5,G,2,B,290909.0909
48.5,G,2,C,300000
48.5,G,4,A,300000
48.5,G,4,B,254545.4545
48.5,G,4,C,218181.8182
48.5,H,0,A,163636.3636
48.5,H,0,B,136363.6364
48.5,H,0,C,136363.6364
48.5,H,2,A,100000
48.5,H,2,B,136363.6364
48.5,H,2,C,136363.6364
48.5,H,4,A,118181.8182
48.5,H,4,B,136363.6364
48.5,H,4,C,100000
48.5,I,0,A,118181.8182
48.5,I,0,B,72727.27273
48.5,I,0,C,63636.36364
48.5,I,2,A,54545.45455
48.5,I,2,B,72727.27273
48.5,I,2,C,36363.63636
48.5,I,4,A,90909.09091
48.5,I,4,B,72727.27273
48.5,I,4,C,72727.27273
56,G,0,A,1090909.091
56,G,0,B,1636363.636
56,G,0,C,1181818.182
56,G,2,A,1727272.727
56,G,2,B,1545454.545
56,G,2,C,1363636.364
56,G,4,A,1272727.273
56,G,4,B,1181818.182
56,G,4,C,1909090.909
56,H,0,A,909090.9091
56,H,0,B,454545.4545
56,H,0,C,363636.3636
56,H,2,A,727272.7273
56,H,2,B,636363.6364
56,H,2,C,909090.9091
56,H,4,A,818181.8182
56,H,4,B,536363.6364
56,H,4,C,590909.0909
56,I,0,A,818181.8182
56,I,0,B,818181.8182
56,I,0,C,818181.8182
56,I,2,A,454545.4545
56,I,2,B,727272.7273
56,I,2,C,545454.5455
56,I,4,A,818181.8182
56,I,4,B,500000
56,I,4,C,454545.4545
64.5,G,0,A,13636363.64
64.5,G,0,B,13636363.64
64.5,G,0,C,11818181.82
64.5,G,2,A,12727272.73
64.5,G,2,B,8181818.182
64.5,G,2,C,15454545.45
64.5,G,4,A,14545454.55
64.5,G,4,B,14545454.55
64.5,G,4,C,8181818.182
64.5,H,0,A,3818181.818
64.5,H,0,B,4636363.636
64.5,H,0,C,5545454.545
64.5,H,2,A,3636363.636
64.5,H,2,B,5454545.455
64.5,H,2,C,7272727.273
64.5,H,4,A,4454545.455
64.5,H,4,B,4545454.545
64.5,H,4,C,5363636.364
64.5,I,0,A,4454545.455
64.5,I,0,B,5000000
64.5,I,0,C,3818181.818
64.5,I,2,A,3818181.818
64.5,I,2,B,8181818.182
64.5,I,2,C,3909090.909
64.5,I,4,A,3545454.545
64.5,I,4,B,4272727.273
64.5,I,4,C,4636363.636
65.5,G.1,0,A,11818181.82
65.5,G.1,0,B,3636363.636
65.5,G.1,0,C,5454545.455
65.5,G.1,2,A,3818181.818
65.5,G.1,2,B,5000000
65.5,G.1,2,C,5363636.364
65.5,G.1,4,A,8181818.182
65.5,G.1,4,B,7272727.273
65.5,G.1,4,C,5454545.455
65.5,H.1,0,A,2727272.727
65.5,H.1,0,B,4545454.545
65.5,H.1,0,C,5272727.273
65.5,H.1,2,A,8181818.182
65.5,H.1,2,B,2727272.727
65.5,H.1,2,C,5454545.455
65.5,H.1,4,A,3636363.636
65.5,H.1,4,B,8181818.182
65.5,H.1,4,C,5454545.455
65.5,I.1,0,A,4181818.182
65.5,I.1,0,B,4363636.364
65.5,I.1,0,C,4727272.727
